[INFO] [1770121949.872164303] [local_navigation_node]: Local Navigation Node initialized
[INFO] [1770121949.872769831] [local_navigation_node]: Wheel base radius: 327.04 mm
[INFO] [1770121949.873275340] [local_navigation_node]: Motor control mode: 3 (VEL)
[INFO] [1770121956.498758404] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.548626909] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.598732530] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.648806057] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.698739581] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.748723903] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.798735559] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.848850142] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.898712388] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.948858546] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121956.998946907] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.048437129] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.098700493] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.148571499] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.198800195] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.248601607] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.298892157] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.348737459] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.398901044] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.448780568] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.498732094] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.548686249] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.598767110] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.648604486] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.698880368] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.748617798] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.798550879] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.848770168] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.898712194] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.948557180] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121957.998830248] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.048646772] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.098904007] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.148802477] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.198491314] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.248897810] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.298974487] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.348745899] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.398724888] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.448670359] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.499835349] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.548883305] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.598617994] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.648552779] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.698745680] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.748751596] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.798335449] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.848668611] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.898723935] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.948606590] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121958.998753953] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.048718054] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.098783323] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.148779739] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.198842823] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.248758535] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.298745618] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.348679959] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.398716913] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.448700681] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.498609892] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.549041889] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.598876210] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.648442009] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.698725226] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.748911738] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.798646539] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.848559435] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.898858505] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.948649288] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121959.998593296] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.048669770] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.099223066] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.148740734] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.198708354] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.248387173] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.298619001] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.348732679] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.399005193] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.448670290] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.499053213] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.548645716] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121960.598678559] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
